Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
15839976,"Red Rising (Red Rising Saga, #1)",Pierce Brown,"Brown, Pierce",,"=""0345539788""","=""9780345539786""",0,4.27,Del Rey,Hardcover,382,2014,2014,,2025/05/06,to-read,to-read (#46),to-read,,,,0,0
216625366,The Sideways Life of Denny Voss,Holly  Kennedy,"Kennedy, Holly",,"=""1662525915""","=""9781662525919""",5,4.58,Lake Union Publishing,Kindle Edition,330,2025,2025,2025/04/21,2025/04/21,,,read,Bravo to the author ,,,1,0
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",5,4.17,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,2021/05/01,2022/04/04,,,read,,,,2,0
123136728,Orbital,Samantha Harvey,"Harvey, Samantha",,"=""0802161545""","=""9780802161543""",0,3.49,Atlantic Monthly Press,Hardcover,224,2023,2023,,2025/01/07,to-read,to-read (#45),to-read,,,,0,0
199795387,The Heart in Winter,Kevin Barry,"Barry, Kevin",,"=""0385550596""","=""9780385550598""",0,3.82,Doubleday,Hardcover,256,2024,2024,,2024/12/26,to-read,to-read (#44),to-read,,,,0,0
139400713,Martyr!,Kaveh Akbar,"Akbar, Kaveh",,"=""0593537610""","=""9780593537619""",0,4.16,Knopf,Hardcover,331,2024,2024,,2024/12/26,to-read,to-read (#43),to-read,,,,0,0
173754979,James,Percival Everett,"Everett, Percival",,"=""0385550367""","=""9780385550369""",0,4.43,Knopf Doubleday,Hardcover,303,2024,2024,,2024/12/26,to-read,to-read (#42),to-read,,,,0,0
28787462,La fille de Brooklyn,Guillaume Musso,"Musso, Guillaume",,"=""2845638086""","=""9782845638082""",3,4.00,XO Editions,Paperback,473,2016,2016,2024/12/21,2024/12/04,,,read,I had trouble following. It was a book of kidnapping and murder. Not my thing.,true,,1,0
50659467,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575567""","=""9781635575569""",0,4.15,Bloomsbury Publishing,Paperback,419,2020,2015,,2024/12/21,to-read,to-read (#41),to-read,,,,0,0
61827543,"Vera Wong's Unsolicited Advice for Murderers (Vera Wong, #1)",Jesse Q. Sutanto,"Sutanto, Jesse Q.",,"=""0593549228""","=""9780593549223""",0,4.02,Berkley,Paperback,339,2023,2023,,2024/12/09,to-read,to-read (#40),to-read,,,,0,0
35066358,The First Fifteen Lives of Harry August,Claire North,"North, Claire",,"=""""","=""""",3,4.03,Redhook,Kindle Edition,417,2014,2014,,2024/11/18,,,read,"Cool plot, but hard to follow. I'll admit I wasn't good reading sessions and sometimes just reading before bed so that didn't help",,,1,0
15786792,Paris,Edward Rutherfurd,"Rutherfurd, Edward",,"=""0385535309""","=""9780385535304""",0,4.07,Doubleday,Hardcover,809,2013,2013,,2024/11/16,to-read,to-read (#39),to-read,,,,0,0
89231,Augustus,John  Williams,"Williams, John",,"=""1400076730""","=""9781400076734""",0,4.26,Vintage,Paperback,336,2004,1972,,2024/11/16,to-read,to-read (#38),to-read,,,,0,0
457228,Butcher's Crossing,John  Williams,"Williams, John",Michelle Latiolais,"=""1590171985""","=""9781590171981""",0,4.18,New York Review Books,Paperback,274,2007,1960,,2024/11/16,to-read,to-read (#37),to-read,,,,0,0
9799,The Fortress of Solitude,Jonathan Lethem,"Lethem, Jonathan",,"=""0571219357""","=""9780571219353""",0,3.84,Faber and Faber,Paperback,528,2005,2003,,2024/10/31,to-read,to-read (#36),to-read,,,,0,0
